Time,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13
157,275.0,245.0,140.0,197.0,123.0,80.0,39.0,28.0,-5.0,-1.0,-3.0,0.0
158,276.0,246.0,144.0,200.0,119.0,76.0,38.0,27.0,-6.0,-1.0,-3.0,0.0
159,276.0,246.0,144.0,200.0,119.0,76.0,38.0,27.0,-6.0,-1.0,-3.0,0.0
160,276.0,246.0,144.0,200.0,119.0,76.0,38.0,27.0,-6.0,-1.0,-3.0,0.0
161,275.0,245.0,143.0,199.0,116.0,74.0,34.0,24.0,-5.0,-3.0,-4.0,0.0
162,275.0,245.0,143.0,199.0,116.0,74.0,34.0,24.0,-5.0,-3.0,-4.0,0.0
163,275.0,245.0,143.0,199.0,116.0,74.0,34.0,24.0,-5.0,-3.0,-4.0,0.0
164,275.0,245.0,143.0,199.0,116.0,74.0,34.0,24.0,-5.0,-3.0,-4.0,0.0
165,268.0,238.0,136.0,193.0,115.0,73.0,34.0,21.0,-4.0,-1.0,-3.0,0.0
166,268.0,238.0,136.0,193.0,115.0,73.0,34.0,21.0,-4.0,-1.0,-3.0,0.0
167,268.0,238.0,136.0,193.0,115.0,73.0,34.0,21.0,-4.0,-1.0,-3.0,0.0
168,268.0,238.0,136.0,193.0,115.0,73.0,34.0,21.0,-4.0,-1.0,-3.0,0.0
169,264.0,234.0,132.0,190.0,110.0,67.0,30.0,20.0,-4.0,-2.0,-4.0,0.0
170,264.0,234.0,132.0,190.0,110.0,67.0,30.0,20.0,-4.0,-2.0,-4.0,0.0
171,264.0,234.0,132.0,190.0,110.0,67.0,30.0,20.0,-4.0,-2.0,-4.0,0.0
172,260.0,232.0,129.0,187.0,108.0,65.0,28.0,19.0,-1.0,0.0,-2.0,0.0
173,260.0,232.0,129.0,187.0,108.0,65.0,28.0,19.0,-1.0,0.0,-2.0,0.0
174,260.0,232.0,129.0,187.0,108.0,65.0,28.0,19.0,-1.0,0.0,-2.0,0.0
