,Comments,T,P
15 37 47 ,,170,748.4
15 37 48 ,,170,748.4
15 37 49 ,,170,748.4
15 37 50 ,,170,748.4
15 37 51 ,,170,748.4
15 37 52 ,,170,748.4
15 37 53 ,,170,748.4
15 37 54 ,,170,748.4
15 37 55 ,,170,748.4
15 37 56 ,,170,748.4
15 37 57 ,,170,748.4
15 37 58 ,,170,748.4
15 37 59 ,,170,748.4
15 38 00 ,,170,748.4
15 38 01 ,,170,748.4
15 38 02 ,,170,748.4
15 38 03 ,,170,748.4
15 38 04 ,,170,748.4
15 38 05 ,,170,748.4
15 38 06 ,,170,748.4
15 38 07 ,,170,748.4
15 38 08 ,,170,748.4
15 38 09 ,,170,748.4
15 38 10 ,,170,748.4
15 38 11 ,,170,748.4
15 38 12 ,,170,748.4
15 38 13 ,,170,748.4
15 38 14 ,,170,748.4
15 38 15 ,,170,748.4
15 38 16 ,,170,748.4
15 38 17 ,,170,748.4
15 38 18 ,,170,748.4
15 38 19 ,,170,748.4
15 38 20 ,,170,748.4
15 38 21 ,,170,748.4
15 38 22 ,,170,748.4
15 38 23 ,,170,748.4
15 38 24 ,,170,748.4
15 38 25 ,,170,748.4
15 38 26 ,,170,748.4
15 38 27 ,,170,748.4
15 38 28 ,,170,748.4
15 38 29 ,,170,748.4
15 38 30 ,,170,748.4
15 38 31 ,,170,748.4
15 38 32 ,,170,748.4
15 38 33 ,,170,748.4
15 38 34 ,,170,748.4
15 38 35 ,,170,748.4
15 38 36 ,,170,748.4
15 38 37 ,,170,748.4
15 38 38 ,,170,748.4
15 38 39 ,,170,748.4
15 38 40 ,,170,748.4
15 38 41 ,,170,748.4
15 38 42 ,,170,748.4
15 38 43 ,,170,748.4
15 38 44 ,,170,748.4
15 38 45 ,,170,748.4
15 38 46 ,,170,748.4
15 38 47 ,,170,748.4
15 38 48 ,,170,748.4
15 38 49 ,,170,748.4
15 38 50 ,,170,748.4
15 38 51 ,,170,748.4
15 38 52 ,,170,748.4
15 38 53 ,,170,748.4
15 38 54 ,,170,748.4
15 38 55 ,,170,748.4
